"pep_id","pep_group","species","representative_mass","monoisotopic_mass","log10_area","rt","match_group","isotopic_group","serie_group"
"pep_1038","cp_1038","Clonostachys pseudochroleuca",1038.67274,1038.67274,5.47712125471966,9.2076,NA,NA,NA
"pep_1064","cr_1064","Clonostachys rogersoniana",1064.8938,1064.8938,5.37069809257558,10.6862,NA,NA,NA
"pep_1073","cp_1073","Clonostachys pseudochroleuca",1073.66522,1073.66522,5.27067883614471,7.7373,NA,NA,1
"pep_1073","cf_1073","Clonostachys farinosa",1073.67658,1073.67658,4.16731733474818,6.4804,NA,NA,2
"pep_1087","cc_1087","Clonostachys chloroleuca",1087.66838,1087.66838,4.71003269906575,7.9558,NA,NA,1
"pep_1087","cf_1","Clonostachys farinosa",1087.70308,1087.70308,4.06929801211553,6.9112,1,1,2
"pep_1089","cc_1","Clonostachys chloroleuca",1087.70308,1089.65092,4.14082218010931,7.2169,1,1,3
"pep_1101","cc_2","Clonostachys chloroleuca",1101.68322,1101.68322,4.10619089726342,7.9798,2,2,1
"pep_1103","cc_2","Clonostachys chloroleuca",1101.68322,1103.66406,4.14952701375435,8.2131,2,2,3
"pep_1109","cf_3","Clonostachys farinosa",1109.74832,1109.74832,3.59988307207369,9.6528,3,NA,4
"pep_1109","cp_3","Clonostachys pseudochroleuca",1109.76088,1109.76088,5.33122478102073,9.6106,3,NA,NA
"pep_1123","cp_1123","Clonostachys pseudochroleuca",1123.77388,1123.77388,5.19173039336286,10.8052,NA,NA,4
"pep_1163","cp_1163","Clonostachys pseudochroleuca",1163.70936,1163.70936,5.12807601266872,7.856,NA,NA,5
"pep_1163","cf_1163","Clonostachys farinosa",1163.72212,1163.72212,4.45331834004704,6.8486,NA,NA,NA
"pep_1177","cp_1177","Clonostachys pseudochroleuca",1177.72204,1177.72204,5.38219721037745,8.1201,NA,NA,5
"pep_1177","cr_1177","Clonostachys rogersoniana",1177.72704,1177.72704,4.86153441085904,6.794,NA,NA,5
"pep_1191","cc_1191","Clonostachys chloroleuca",1191.72548,1191.72548,4.55810830163055,8.3816,NA,NA,5
"pep_1191","cr_4","Clonostachys rogersoniana",1191.74162,1191.74162,5.01072386539177,6.8903,4,NA,5
"pep_1191","cf_4","Clonostachys farinosa",1191.75018,1191.75018,4.41279642871654,7.192,4,NA,5
"pep_1191","cp_4","Clonostachys pseudochroleuca",1191.7509,1191.7509,5.40705081480425,6.9279,4,NA,5
"pep_1193","cf_5","Clonostachys farinosa",1193.77044,1193.77044,3.585799009013,10.657,5,3,NA
"pep_1195","cf_5","Clonostachys farinosa",1193.77044,1195.78192,3.56726169235387,10.5557,5,3,NA
"pep_1205","cc_1205","Clonostachys chloroleuca",1205.74188,1205.74188,4.34849957028384,8.5224,NA,NA,6
"pep_1205","cr_6","Clonostachys rogersoniana",1205.75156,1205.75156,5.0640834359636,7.1181,6,NA,7
"pep_1205","cp_6","Clonostachys pseudochroleuca",1205.76904,1205.76904,5.20736503746907,6.8665,6,NA,NA
"pep_1219","cr_7","Clonostachys rogersoniana",1219.76532,1219.76532,5.15442397311465,7.2274,7,NA,6
"pep_1219","cp_7","Clonostachys pseudochroleuca",1219.77998,1219.77998,5.35256838617931,7.2999,7,NA,7
"pep_1235","cf_1235","Clonostachys farinosa",1235.73676,1235.73676,3.838912027406,6.5045,NA,NA,NA
"pep_1277","cp_1277","Clonostachys pseudochroleuca",1277.87016,1277.87016,4.94546858513182,12.2657,NA,NA,NA
"pep_1308","cr_1308","Clonostachys rogersoniana",1308.8312,1308.8312,5.08386080086657,10.0219,NA,NA,NA
"pep_1348","cf_1348","Clonostachys farinosa",1348.87426,1348.87426,3.69478063601206,11.4619,NA,NA,NA
"pep_1350","cr_1350","Clonostachys rogersoniana",1350.84684,1350.84684,5.40380661054742,10.2904,NA,NA,NA
"pep_1392","cr_1392","Clonostachys rogersoniana",1392.19272,1392.19272,4.93028664724552,7.7108,NA,NA,NA
